zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
(src:instagram) extra:ispost;2017-09-09 17:45;https://instagram.com/p/BY02aStgOux/;;post;3;1151;zeilschooldekikkert;0;0;53.088058;5.820696;Het dondert en het bliksemt en het regent meters sinas. #heledagzon #goedeindevandedag #regentknikkers #hetregentzonnestralen #beetjeonweer #zeilen #zeilschool #weekendcursus #Slotermeer #Sloten #Woudsend #Randmeer #Gaastra #geenfilter #uiteraard;instagram;
(src:instagram) extra:ispost;2017-04-29 17:30;https://instagram.com/p/BTeW7LxBa3q/;;post;2;3330;twentephotography;0;0;52.264099;6.89452;Vliegveld twente  Nederlands  #hdr_professional#hdr #hdrphotopros #mooioverijssel  #photographyeveryday #photographs #twentephotography  #hengelo #vliegveldtwente #gf_hdr #hdr_nederland #hdriphoneographer #vliegveld #hdrstyles_gf  #hdriphonegraphy #hdr_lovers #awesome_hdr  #  #hdrimage #hdr_gallery #hdr_love  #hdrama #hdrart #hdrphoto #hdrstyles #rtvoost #hdr_beautiful_landscapes  #landschapoverijssel  #landscape #instanetherlands #canon50d;instagram;
(src:instagram) extra:ispost;2017-07-27 06:06;https://instagram.com/p/BXCTdcQBAcU/;+;post;2;256;nashwamayrani_;0;0;52.321163;4.665596;#netherlands #madurodam #miniatureart #flf #fff #lfl #cfc #c4c #tft #t4t #followforfollow #likeforlike #commentforcomment #tagfortag #followme #followtrain #view #flowers #castle #miniminiature #photo #selebgram #instagrammer #tumblr #cute ♡ ♡ ♡🦄 Madurodam 🦄;instagram;
(src:instagram) extra:ispost;2017-12-21 00:04;https://instagram.com/p/Bc8RqtehYfg/;;post;;1089;pascalveltrop;0;0;51;5.866667;#zuidlimburg #sittard  #iglimburg #tonniesviniellietip #schallplattensammlung #vinyl #vinyloftheday  #instavinyl  #vinylcommunity #vinylcollection  #langspielplatte #lp #records #recordscollection;instagram;
(src:instagram) extra:ispost;2017-06-12 19:43;https://instagram.com/p/BVP5L0hgRSI/;+;post;4;835;benikhip.nl;0;0;;;Nog een leuk notitieblokje met bijpassend kaartje  Bedankt voor de fanTAStische tijd . Kaartje en notitieblokje zijn verkrijgbaar in de webshop link in bio . #school #eindeschooljaar #stationery #bedankje #eindeschooljaarinzicht #kaartje #kado #notitieblokje #cadeautje #juf #meester #webshop #beuningen #benikhip;instagram;
(src:instagram) extra:ispost;2017-12-03 02:07;https://instagram.com/p/BcOJiLulQie/;+;post;;400;antonyedilbert;0;0;52.3731;4.8922;Was shot handheld :) #proud  #amsterdamlightfestival2017 #amsterdam #amsterdamlightfestival  #water #reflection #perspective #nightshot #night #light #lightart #canon #canonphotography #travelgram #travelbug #shutterbug #iamsterdam #winter #christmas #wanderlust #exploreamsterdam;instagram;
(src:instagram) extra:ispost;2018-06-01 23:21;https://instagram.com/p/Bjfzc1ZBgdZ/;;post;;;scab.urk;0;0;52.665279;5.605834;"Kunst expo: Een jonge groep van dertien Urker kunstenaars houdt op zaterdag 2 juni een expositie in Museum het Oude Raadhuis. Het doel van de expositie is een podium te bieden aan jongeren die met kunst bezig zijn. Het belooft een verrassende expositie te worden; wij zijn er bij en doen verslag. Met eigen ogen bekijken? Dat kan op zaterdag 2 juni van 10.00uur - 16.00uur. • • • #urk #kunst #hedendaagsekunst #cibap #artez #deltion #fotovakschoolamsterdam #museum #expositie #expo #kunstacademie #kunststudent #museumhetouderaadhuis #exposure";instagram;
(src:instagram) extra:ispost;2017-09-09 22:43;https://instagram.com/p/BY1YfJ0l1gF/;;post;;33;gelonawitteveen;0;0;52.4333;5.85;Botterdagen Elburg #botterdagenelburg #summertime #rtvoost;instagram;
(src:instagram) extra:ispost;2017-02-23 20:04;https://instagram.com/p/BQ3XvfrDatX/;+;post;;1260;aangenaambergenopzoom;0;0;;;Een bijzonder nieuw biertje is vanaf nu te vinden bij @gastrobardemoor in Bergen op Zoom: Mint the Chocolate, het nieuwe testbrouwsel van brouwerij De Koninck. Lekker! #bergenopzoom #brabant #beer #bier #thenetherlands;instagram;
(src:instagram) extra:ispost;2017-05-31 19:05;https://instagram.com/p/BUw7PTmgBfu/;;post;;3109;mmtnederland;0;0;;;29 mei LFL03 Bleskensgraaf Foto: Rik de Leeuw/ 112Vijfheerenlanden #airrescue #airambulance #eurocopter #helicopter #hems #lifeliner #luftrettung #medicalhelicopter #rettungshubschrauber #rescueheli #traumaheli #hems #maa #airbushelicopters #airbushelicopter #ec135 #anwb;instagram;
