;Unnamed: 0;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
0;0;2017-08-24 08:56;https://instagram.com/p/BYKtL1GHHII/;0;0.0;3.0;carla__1968;;;, 18.40u, woensdag 23 augustus 2017.  ;3.0;2017-08-24 06:56:56;Nederweert clouds wolken
1;1;2018-02-03 23:48;https://instagram.com/p/BewHqDMFKX5/;0;0.0;66.0;footballtalk_nl;;;Dit was voetbaldag 34! Met Psv wie een nieuw record te pakken heeft! De Eindhovense ploeg heeft 18 thuiswedstrijden achter elkaar gewonnen. De Eindhovenaren wonnen vandaag met 4-0 door een hattrick van Luuk de Jong. Een opmerkelijke gebeurtenis was de rode kaart voor Mickey van der Hart een rode kaart pakte waardoor de 3e keeper in het veld moest komen.  Aubameyang is gedebuteerd in de Premier League! De nieuwe spits van Arsenal scoorde gelijk bij zijn debuut. Hierdoor won de ploeg van Wenger met 4-0 van Everton, waar oud-Gunner The Walcott op het veld stond.  Sanchez heeft zijn eerste speelminuten voor de ploeg van Mourinho gemaakt. De Chileen was gelijk belangrijk en scoorde de 2-0 voor de red devils.      ;66.0;2018-02-03 22:48:31;psv peczwolle aubameyang arsenal alexissanchez manchesterunited
3;3;2017-11-20 14:47;https://instagram.com/p/BbuCLYIgXNu/;+;3.0;18.0;x_marga;;;So much fun yesterday.      ;18.0;2017-11-20 13:47:59;sinterklaas intochtsinterklaas kijkduin pietje myboy fun
4;4;2017-12-21 01:30;https://instagram.com/p/Bc8bkRSg2e_/;-;4.0;119.0;vogelsinbeeld;;;Kwade Hoek        ;119.0;2017-12-21 00:30:36;kwadehoek natuurmonumenten ouddorp goereeoverflakkee strand reflection landscapephotography vogelsinbeeld
5;5;2017-04-07 00:11;https://instagram.com/p/BSj2gKXhnxG/;+;4.0;35.0;spaanpt;;;SPAAN PT MINDSET TIP: WACHT OP HET JUISTE MOMENT!   Poeh, wat ben ik onwijs druk deze week. Afgelopen maandag zijn we met 50 dames gestart met de Bikini Battle dus los van de normale workouts, voedingsplannen en activiteiten achter de schermen is het deze weken even extra gas erbij zodat iedereen een vliegende start kent.  Vanmorgen zat ik daarom al om 06:00 uur achter de computer om voor alle deelnemers schema's op te stellen. Aansluitend snel naar de Studio voor een aantal uur training geven, een intake met een nieuwe klant en dan 's middags tussen de bedrijven door zelf aan de slag. Of toch niet? Ben best wel moe eigenlijk. Zal ik anders morgen gaan? Dan komt het vast beter uit.   Ken je dat gevoel? En de neiging/verleiding om je workout maar te verschuiven naar een andere dag in de week? 🤔  NIET DOEN!  In het leven dat we vandaag de dag leiden moeten we altijd dealen met 1001 dingen tegelijk. Lekker gaan sporten is één van die dingen. Je kunt wachten totdat het juiste moment daar is om naar de gym te gaan maar geloof me, dan komt er niks van.   HET JUISTE MOMENT IS NOOIT!   In het kader van omdenken, zie ik het liever nét wat anders:  HET JUISTE MOMENT IS ALTIJD!   Raap jezelf daarom bij elkaar. Gooi wat water in je gezicht, trek je sportoutfit aan en ga lekker wat doen. Na die tijd bruis je weer van de energie en fiets je opnieuw fluitend door je dag heen.  Succes, zet hem op en maak jezelf trots!            ;35.0;2017-04-06 22:11:01;personaltraining smallgrouptraining bootcamp BikiniBattle HNYHNY Apeldoorn Zuidbroek SpaanPT SpaanPTeam
6;6;2017-01-12 10:44;https://instagram.com/p/BPKOTLjADTh/;-;0.0;11.0;anjemaenschneiders;52.516701;4.95;Parkeersensor stuk? Vervelend! Wij repareren het graag voor je zodat je weer ''veilig'' kunt inparkeren         ;11.0;2017-01-12 09:44:31;parkeren parkeersensor sensor auto defect stuk inparkeren purmerend
7;7;2018-01-25 09:07;https://instagram.com/p/BeXXtAMFiYu/;0;0.0;24.0;desunstick;;;De Sunstick is deze (mid)dag ook aanwezig. Kom langs voor meer informatie en een prototypetest. Tot dan!        ;24.0;2018-01-25 08:07:43;avans breda ORM ondernemen sun strand beach zomer
8;8;2017-07-24 15:06;https://instagram.com/p/BW7ixwbB_Ow/;0;1.0;9.0;mishell72;51.68975800000001;5.29968; ;9.0;2017-07-24 13:06:00;denbosch sol
9;9;2017-10-25 20:47;https://instagram.com/p/BarnvtwHD4M/;0;3.0;104.0;aukjeploeg46;;;Paddestoelen . . .                          ;104.0;2017-10-25 18:47:08;paddestoel mushroom herfst autumn macro macrofotografie natuur nature natuurfoto natuurfotografie natureperfaction macrosecrets zoomnl veluwe veluwezoom bns_nature canon roots instanetherlands instaveluwe igs_world igs_macro speulderbos bd_pro geldersestreken gelderland
11;11;2017-08-17 16:43;https://instagram.com/p/BX5hArDjf3G/;0;1.0;43.0;eee333;;; @e3_stella (@get_repost) @_artshow_ E3 in Gay parade 2017                 ;43.0;2017-08-17 14:43:28;Repost prideamsterdam gayparade amsterdam netherlands canals photography illustration doodle drawing tekening draw illust sketchbook doodling doodle characterdesign cartoon artwork graphicdesign
13;13;2018-01-07 22:13;https://instagram.com/p/BdqbTH6FFZK/;0;0.0;30.0;wischmei;;;Ferdi is vandaag voor de tweede keer met zijn team WVV JO11-1 kampioen geworden van het Milk Boarding Toernooi Groningen.          ;30.0;2018-01-07 21:13:19;voetbal wvv1896 jo11 fn7 pirates4kids knvb jako wvv E1
14;14;2017-02-10 09:48;https://instagram.com/p/BQUy8PqgPEI/;0;0.0;24.0;restaurantgrillig;51.660912;5.05395;We hebben nog maar een paar tafels beschikbaar voor 14 februari! Neem je valentijn mee uit eten of verras hem/haar met een waardebon van Grill-ig.  Reserveer nu! 0416-744083          ;24.0;2017-02-10 08:48:30;valentijn uiteten tapas alacarte verrassing diner love kaatsheuvel grillig
15;15;2017-12-19 17:44;https://instagram.com/p/Bc5BYxenbZ5/;+;1.0;42.0;select_windows;;;"Ben jij ook verliefd geworden op de vouwwand in de metamorfose in vtwonen ‘Verbouwen of Verhuizen’? Wij snappen wel dat Johan & Joke niet gaan verhuizen ;-)          of             ";42.0;2017-12-19 16:44:07;vouwwand aluminium sunflex stoer stoerwonen harmonicawand selectwindows vtwonen verbouwen verhuizen nicolettevandam fransuyterlinde veenendaal stijlvolwonen beterwonen styling stylist woonstyling binnenhuisarchitect architectuur architects linkinbio
16;16;2018-08-14 16:46;https://instagram.com/p/BmdpK6SB_Lv/;0;0.0;23.0;tamaraaa_s;;;;23.0;2018-08-14 14:46:57;efteling
17;17;2018-01-09 21:33;https://instagram.com/p/BdvgUkQg-wt/;+;0.0;26.0;jvgautos;;;BMW E97 1-serie 120i High Executive met leer, navi, xenon, PDC, schuif-/ kanteldak en nog veel meer opties. Prachtige auto uit 2004 met maar 140.000km op de teller! Voor meer info en foto's zie link in bio.               ;26.0;2018-01-09 20:33:24;bmw e87 1serie Leer PDC Auto Car Dutch German Armenian Holland Nederland Enschede jvgautos
18;18;2018-02-09 23:15;https://instagram.com/p/Be_gomOBn8_/;0;0.0;20.0;kimmmi3y;;;   ;20.0;2018-02-09 22:15:23;BoomLikeThat Barneveld DireStraits Coverband
19;19;2017-05-09 07:59;https://instagram.com/p/BT3Fh9TFCjN/;-;3.0;44.0;pieterys;51.653301;5.05436;Vanavond alweer naar huis, helaas zonder deze schattige muis.      ;44.0;2017-05-09 05:59:17;achterhetbed efteling hotel muis eftelinghotel wereldvolwonderen
20;20;2017-08-15 15:17;https://instagram.com/p/BX0NizTgh9T/;+;0.0;22.0;hetinktatelier;51.701561;5.28765;Vrijdag 18 augustus gaan we papier scheppen op Het Inkt Atelier. We scheppen bloemen mee om bloemenpapier te maken. We persen een watermerk in het papier en maken een blinddruk. Ook spelen we met gekleurd papier. En natuurlijk mag je alle gemaakte papieren mee naar huis nemen. Wil je ook meedoen? Gezellig samen, ouder en kind, voor € 22,60 excl btw, ( € 25,- incl.) Schrijf je in op Www.hetinktatelier.nl      ;22.0;2017-08-15 13:17:10;creatieveuitjes gruyterfabriek denbosch shertogenbosch zomervakantie2017 hetinktatelier
21;21;2017-06-22 22:48;https://instagram.com/p/BVp-T7IAdsm/;0;0.0;22.0;ottevangerslichtdesign;53.209621;6.5472;Wist u dat Ottevangers Lichtdesign een uitgebreid aanbod buitenverlichting heeft? Vanaf vandaag worden de dagen weer korter, dus hoog tijd om over de verlichting van uw tuin en terras na te denken        ;22.0;2017-06-22 20:48:52;design verlichting buitenverlichting tuininspiratie tuin groningen foscarini interieur
22;22;2017-02-28 15:35;https://instagram.com/p/BRDw_kBALFR/;+;14.0;276.0;astridvanlangeraad;51.6497;3.9164;It's in the blue               ;276.0;2017-02-28 14:35:47;blue skyscape reflection lovethecolorblue zierikzee kaaskenswater waterreflection naturelovers naturephotography natuurfotografie natuurfoto cloudscape view zeeland schouwenduiveland
23;23;2017-09-02 01:25;https://instagram.com/p/BYhEurQlejC/;0;0.0;125.0;esoteric.ink;;;. . . . . . . .                     #     ;125.0;2017-09-01 23:25:58;latepost rabbit dotworktattoo dotwork tattooedgirls tattoos tattoo inked inkedgirls likesforlikes like4like liketeam followbackteam followforfollow followme amsterdam татуировка onlyblackart lock blackandwhite art artist tattooartist
24;24;2017-09-11 10:17;https://instagram.com/p/BY5MsUtAQBm/;+;5.0;190.0;at5.nl;;;De jeugd van Ajax Onder 11 had afgelopen weekend een training in het Amsterdamse Bos. Tijdens de looptraining werden er gezellig stadionliedjes ingezet! |  @sc.yech       ;190.0;2017-09-11 08:17:19;AT5 Amsterdam Ajax voetbal sport nieuws training
25;25;2018-03-21 15:45;https://instagram.com/p/Bgls_iFDpRv/;+;2.0;44.0;benikhip.nl;;;Deze leuke hippe rugtas is nieuw toegevoegd in de shop.  Krijg er gelijk een heerlijk lentegevoel van   Link in bio                          ;44.0;2018-03-21 14:45:55;rugzak backpack hippetas meisjestas girlbag pastel schooltas school handig print zebratrends girly lief kadotip verjaardag cadeau basisschool backtoschool dagjeuit peuterspeelzaal onderweg smallshop workingmom beuningen benikhip
26;26;2017-11-26 13:15;https://instagram.com/p/Bb9UXFZALbz/;+;4.0;107.0;homemade_queen;52.233299;5.1833300000000015;Nu er nieuwe verbouwingsplannen zijn ontstaan   is er ook weer motivatie om de laatste klusloodjes, die waren blijven liggen, van de laatste verbouwing af te maken  En ik ga aan de slag met heel veel Smulkruimels maken en wat lekkers voor mijn eigen klusser        ;107.0;2017-11-26 12:15:28;dienogverderuitgewerktmoetenworden duurtdusnogeven zondag klusdag bakdag thuisbakkerij homebakery homemadequeen Hilversum
27;27;2017-06-20 21:34;https://instagram.com/p/BVksLA7lZpX/;+;0.0;29.0;michelesparreboom;51.866699;4.46667;Koken voor sterren. Op initiatief van Peter van der Linde van ADTS / samen met een groep supertoffe Rotterdamse ondernemers en het team van Rotterdam Rib Rallly en team Aafje aan de Burghsluis in Pendrecht een uitgebreide BBQ met muziek verzorgd en liefdevolle aandacht gegeven aan zo'n 70 bewoners. 'Zij bouwden op, wij bouwen door'.         @marichelle @mennokloostra @robin_r4r @dennisscholte;29.0;2017-06-20 19:34:10;aafje rotterdam ouderen snikheet topdag genoten metliefde ietsterugdoenvoordemaatschappij
28;28;2017-11-19 17:30;https://instagram.com/p/Bbrv8sjlMlw/;+;6.0;35.0;b_smmartverkoopstyling;51.450001;5.46667;GLOW  W E E K E N D  Als je in Eindhoven woont moét je echt ieder jaar even gaan kijken. Gisteren dus eventjes geweest met mijn dochter.  De Blob was prachtig! ;35.0;2017-11-19 16:30:13;
29;29;2018-02-07 07:33;https://instagram.com/p/Be4rRf0n6FB/;0;3.0;25.0;fontyscvo;;;Nog maar 1 dag tot het Fontys Student Startup Festival! Veel workshops, studentondernemers die gaan pitchen en een meet&greet! Volg ons morgen ook live op Instagram!      ;25.0;2018-02-07 06:33:40;studenten ondernemers startups eindhoven fontys event
32;32;2017-12-23 09:36;https://instagram.com/p/BdCc0IMg2zK/;0;0.0;42.0;wonen_43;;;Op de foto voor SR-2017 Apeldoorn,     ;42.0;2017-12-23 08:36:56;sr2017 Apeldoorn foto friends
33;33;2017-06-07 20:15;https://instagram.com/p/BVDEy6sF5ZX/;+;0.0;10.0;puurskin;;;WIJ DAGEN JOU UIT! Dit is dé gezonde vervanger voor frisdrank en sapjes! --> Met de zomer in aantocht is voldoende  erg belangrijk, 2 liter per dag is dan echt nodig. Snak je naar een verkoelend en verfrissend drankje met een smaakje, maar wil je minderen met suiker? Dan zijn frisdranken en sapjes een minder goede keuze. Gewoon water kan dan snel gaan vervelen. Om je water interessant te maken en een lekker (gezond!) smaakje te geven, kun je je eigen ínfused water maken door er fruit aan toe te voegen. Geen synthetische zoetstoffen, geen  ,  of koolzuur. Gewoon water met een natuurlijk smaakje!  Deze combinaties zijn lekker en verfrissend! - Citroen en gember - Aardbei en munt - Appel en aardbei - Sinaasappel en kiwi - Framboos en munt - Limoen en bosbessen - Citroen en komkommer - Aardbei en basilicum - Watermeloen en kiwi  Enjoy!          ;10.0;2017-06-07 18:15:09;drinken geraffineerde suikers kleurstoffen ikskinperfection healthy foodchallenge junihuidenvoedingmaand gezondelevenstijl durfjijhetaan schoonheidssalon westervoort huidverbetering
34;34;2017-04-25 08:48;https://instagram.com/p/BTTICKNBev3/;0;0.0;39.0;guusmeeuwisfans;;;Zingen voor de koning   ;39.0;2017-04-25 06:48:30;guusmeeuwis koningsdag tilburg
35;35;2018-08-25 13:41;https://instagram.com/p/Bm5oGowlpFK/;+;0.0;44.0;hcdbmc7;;;Effe introduceren, dit zijn de 15   van  MC7.... Helemaal klaar voor de start van het nieuwe hockeyseizoen... en ze hebben er echt héél veel zin in!            ;44.0;2018-08-25 11:41:47;hockey toppers HCDB voorbereiding blackandyellow éénteam hardworkpaysoff denbosch lol genieten hockey fieldhockey bigsmile zininhetnieuwehockeyseizoen
37;37;2017-02-15 17:12;https://instagram.com/p/BQidsp9FDQP/;+;1.0;24.0;beebizziekids;;;Super gave workshops bij de TU Delft in de voorjaarsvakantie! En ja, óók heel leuk voor meisjes, dus . Kijk bij de agenda op de website voor meer info.          ;24.0;2017-02-15 16:12:14;wetenschap kinderen techniek ontdekkendleren proefjes beebizzie leren vakantie voorjaarsvakantie tudelft
38;38;2017-12-05 14:19;https://instagram.com/p/BcUmyOZg7P0/;0;0.0;8.0;tessazwaving;;;Uitje van de week       -11-17 ;8.0;2017-12-05 13:19:00;theater zuiderstrandtheater voorstelling denhaag 070 dag314 28 digitaaldagboek
39;39;2017-07-26 02:06;https://instagram.com/p/BW_TLLpgwYs/;+;19.0;147.0;matrix_iphone;;;"Assalammualaikum and selamat pagi warga instagram semua .  - Positive kan diri anda setiap hari .  inshallah orang sekeliling juga POSITIVE dengan anda . Nabi Muhammad S.A.W pernah berpesan: ""JIKA KITA BERKAWAN DENGAN PENJUAL MINYAK WANGI BADAN KITA TURUT BERBAU WANGI JIKA KITA BETKAWAN DENGAN PEMBUAT PEDANG KITA AKAN DAPAT PERCIKAN API MENYEBABKAN BAJU TERKOYAK"" . Inshaallah . -                           ";147.0;2017-07-26 00:06:37;syukurselalu usahawanonline viral belajarinstagram usahawanmuda gadgetgiveaway semuabolehduit giveawaymalaysia iphonegiveawaymalaysia gadgetmurahmalaysia youcanduit powergold shaklee dms360 nurraysabeauty toneexcel testimoni uitm usm ajimaura eusahawan iphonemurah erezeki usahawan bisnesonline seminar iphonemurahmalaysia
40;40;2018-01-17 08:27;https://instagram.com/p/BeCsslKn21m/;+;3.0;92.0;sophisticated.and.beautiful;51.916698;4.5;An apple a day keeps the doctor away We're getting closer and closer to outdoor lunches and dinners .                              ;92.0;2018-01-17 07:27:07;goodmorning windycity ootdsubmit bblogger styleblogger currentlywearing ootdmagazine mystyle aboutalook streetstyle asseenonme girly outfitshare ootd makeuplover longhairdontcare sophisticatedandbeautiful fit citylife canonphotography fashionphotography photographylovers travel photographysouls january2018 sunnyday veggies rotterdam netherlands
41;41;2017-01-02 19:16;https://instagram.com/p/BOxY6IPlRvL/;+;0.0;37.0;bedandbreakfast.nl;;;Verblijf bij Bedenbreakfast Aan de Alkmaarse Gracht voor een goede start van het jaar!          ;37.0;2017-01-02 18:16:12;bedandbreakfast aandealkmaarsegracht alkmaar nederland gracht ontbijt bedenbreakfast goedestart 2017 bedandbreakfastnl
42;42;2017-08-02 11:39;https://instagram.com/p/BXSWWIHnyHN/;0;0.0;178.0;steeff1967;;;                         ;178.0;2017-08-02 09:39:54;rotterdam maasvlakte onzehaven portofrotterdam loves_boats port loves_world love_vehicles crane container vessel ship transport travel kings_transport traveling craneoperator instashipping trip splendid_shots splendid_transport wonderful_worldshots boat_barco scheepvaartfotografie maritime_family bravesailors
43;43;2017-09-10 18:18;https://instagram.com/p/BY3e7BwhZ_M/;0;0.0;5.0;martenvandermolen;;;   ;5.0;2017-09-10 16:18:08;carillon poldertoren emmeloord openmonumentendag
