;Unnamed: 0;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
0;0;2017-11-20 16:00;https://instagram.com/p/BbuKgs-HoGZ/;0;0.0;5.0;beautynailsbybrigitte;;;Wie wil nou niet zo'n fijne cadeaubon van Sint & Piet krijgen                               ;5.0;2017-11-20 15:00:48;presents cadeau cadeaubon sinterklaas kerstpakket woman men massage gezichtsbehandeling lash lashes eyelashes manicure acrylnagels nail nails lashlift brow brows epileren gelpolish igers igers followme follow pictureoftheday photooftheday relax sneek musthave friesland
1;1;2018-08-21 12:53;https://instagram.com/p/BmvQDGCnB34/;0;2.0;18.0;wandelgek;;;"Visiting the fairytale world of The Efteling again today and loving its whimsically detailed architecture based on the picturesque paintings, drawings and etchings of Anton Pieck. It is wonderful to be able to walk through a forest or gardens while visiting different park attractions. Although I love Fantasialand a lot has not the extra ""attraction"" of nature, birds and flowergardens that The Efteling has. Love them both but love this one better. .                              ";18.0;2018-08-21 10:53:46;wandelgek noordbrabant wandeleninnoordbrabant wandelenindeefteling historicwalks travelpics Wandelgek digitalnomad backpacker backpacking globetrotter wanderer wandering wanderlust wanderlusting europe netherlands citytrip citywalk instatravel travelgram instatravel eropuit dagjeuit antonpieck efteling architecturephotographer architecturephotography
2;2;2017-06-03 19:57;https://instagram.com/p/BU4vkDUhDyK/;+;0.0;24.0;behealthyalltime;51.88319;4.488108;FLYING DUTCH  z najważniejszym mężczyzna w moim zyciu !              ;24.0;2017-06-03 17:57:13;weekend sobota saturday rotterdam ahoy theflyingdutch zabawa fun havefun my love theoneandonly only one
3;3;2018-06-09 20:44;https://instagram.com/p/Bj0H4wPBSBA/;+;2.0;21.0;nailsbreda;51.5667;4.8;                              ;21.0;2018-06-09 18:44:28;classynails nails nailsfashion gelnails nailswag nailsonfleek nailcandy glamnails nailaddict instanails nailporn glamour fashion NailsBreda love lovenails beauty nailstagram nailsdid fashionnails naildesign gelpolish nailsoftheday instadaily nailslove nailedit naildesigns nailart breda
4;4;2018-02-23 19:41;https://instagram.com/p/BfjLTKNgq4A/;+;2.0;27.0;mybajka;50.84911;5.691;••• New... New... New...  . . Total red panter cuteness babes in this sweet dress... 🤗.... Loving this one.....  . .  Maatjes s,m,l . .  Prijs €49,95 . .  Ook leuk te combineren met een sweater er over heen. . .  Tailleriem €24,95 one size . .  Biba armbandjes vanaf €5,95 . . Get yours now:  . .  Dress: http://www.mybajka.nl/product/rwd-panter/ . . >>> www.mybajka.nl <<<  . .  GRATIS VERZENDING BINNEN NL  . .                               ;27.0;2018-02-23 18:41:37;mode musthave fashion fashionblogger fashionstore fabulous trend trendy webshop onlineshop boutique panter unique cute elegante chique love maastricht fashionboutique shoppingtime chique boutique summer sweater dress newcollection dress panter black happy reddress panterprint
5;5;2018-03-12 15:19;https://instagram.com/p/BgOew9EDXo_/;0;1.0;29.0;anoekvanderleest;;;Over de brug naar Leidsche Rijn en terug.              ;29.0;2018-03-12 14:19:03;gelebrug leidscherijn douweegberts fabriek zonnetje lente brug bluesky utrecht netherlands cycling bridge 030
6;6;2018-08-04 18:16;https://instagram.com/p/BmEDeztgtWP/;+;0.0;28.0;shakerparty;;;What a beautiful picture #... Well, this @gardaland coaster is . # Unlike @efteling Python, Shaman was not correctly maintained. #   MK-1200 - ,              ;28.0;2018-08-04 16:16:36;shit Italian Vekoma Shaman Gardaland 2018 Rough Ride Bad Tree Green Ecology Offride Pain l4l Clear Sky Blue
7;7;2017-10-21 11:12;https://instagram.com/p/BagSwV5lOEU/;+;0.0;12.0;bijjohannes;;;Elke dag een kaartje! De eerste uit onze prachtige nieuwe serie kaarten is van Patrick! Er zijn er in totaal zeven, gemaakt door onze  van    ;12.0;2017-10-21 09:12:05;kunstenaars abrona bijjohannes zeist abrona_ateliers
8;8;2017-12-19 08:05;https://instagram.com/p/Bc3_MklnquD/;+;0.0;9.0;sisenco_delft;;;• Bij de prachtige horloges van Zinzi krijg je een zilveren armbandje cadeau twv €29,95 •       ;9.0;2017-12-19 07:05:44;zinzi armband cadeau kerstmis delft sisenco
9;9;2017-05-02 21:51;https://instagram.com/p/BTmjKGkl32I/;0;0.0;47.0;amico_photo;52.266701;6.8;'Lake view'            .focus_on     ;47.0;2017-05-02 19:51:05;lake lakeview Hengelo Twente Holland wijzijnhengelo bnw bnw_life bnw_planet bnw_rose bnw ig_photostars_bw huaweip9 HuaweiBy capturedonp9 snapseed
