;Unnamed: 0;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
1;1;2018-02-18 16:48;https://instagram.com/p/BfV_jfFn-C4/;0;3.0;37.0;gjvdijk;52.152142;5.3859900000000005;Robin de Jong!                            ;37.0;2018-02-18 15:48:52;dutchgirl model modeling photography portrait portraitphotography lights love woman studio beauty pictureoftheday instagood instaphoto gjvdijk amersfoort loves_portraits great_portraits internationalphotographer lovely stunning look style longhair curlyhair blonde photographer likeforlike
3;3;2017-01-31 23:36;https://instagram.com/p/BP8hv_5jIyM/;+;0.0;16.0;amazing_you_by_melanie;51.844524;4.166085;Super blij met mijn 1e thuisbezorgde bestelling voor Amazing You  Alsof je een cadeautje openmaakt...        ;16.0;2017-01-31 22:36:30;wimperxl neicha motivatie loveyourwork lashes happy wimperextensions hellevoetsluis
4;4;2018-01-17 10:30;https://instagram.com/p/BeC6xUZlv9y/;0;4.0;100.0;kees_voorsluijs;51.916698;4.5;  -adviseur     ;100.0;2018-01-17 09:30:06;study studying i bigdata datadriven learning 010 rotterdam
6;6;2017-05-08 00:14;https://instagram.com/p/BTzrh7vBJp0/;0;1.0;64.0;sema_ozel;51.700001;5.3166699999999985;       ;64.0;2017-05-07 22:14:22;latergram denbosch sunset beautiful igers igersnederland sundayfunday boanoite
8;8;2017-03-28 22:30;https://instagram.com/p/BSMf2-FA0d7/;0;0.0;22.0;wwwditisrijssen.nl;;;     .nl     ;22.0;2017-03-28 20:30:37;Zonsondergang natuurgebied Midelveen Overtoom Rijssen ditisrijssen Overijssel Wim schippers Toeristen Toeristische
10;10;2017-08-08 12:46;https://instagram.com/p/BXh6rfpjUed/;+;0.0;52.0;momentsintransit;;;"""Amtliche Entscheidungen sind scheu wie  junge Mädchen"" - Kafka /                              ";52.0;2017-08-08 10:46:00;momentsintransit metro subway ootd myfeatureshoot amsterdamcentraal photdoftheday streetphotography ourstreets gramthedam metroholland photofaust myfeatureshoot samsung iphone follow cute westerpark west amsterdam centralstation tram treinleven mymetro challengerstreets monochrome portrait summer android love
11;11;2017-08-31 11:26;https://instagram.com/p/BYc_4QXFma5/;0;2.0;27.0;3rd_chinese;;;  ;27.0;2017-08-31 09:26:37;tbt hightimes eindhoven
12;12;2018-02-09 07:03;https://instagram.com/p/Be9xZSVhNZ3/;+;4.0;78.0;paul_jaspers_;;;   by  @paul_jaspers_  @art_salonpauljaspers my   in    to make      amd  @nederlandpravana @pravana @kevinmurphynl              ;78.0;2018-02-09 06:03:22;midnightshot photo photography paul jaspers small salon maastricht happy room beautiful colors colour colorist paul roos nederlandpravana sharemybb like4like instaphoto instahair hairblogger blogger fashion fashionblogger hairdoctor weekend happy happyvibes instahappy
13;13;2017-06-22 18:24;https://instagram.com/p/BVpgC6bgFKs/;+;0.0;12.0;rozemarrie;52.5;6.5;Bijzondere luchten voor de onweer aan en de aardbeien zijn blij met wat water.      ;12.0;2017-06-22 16:24:24;boerderij onweer regen wolken ommen arrien
14;14;2017-10-11 13:57;https://instagram.com/p/BaG1r6PhnYg/;0;1.0;10.0;migiel3;;;       ;10.0;2017-10-11 11:57:03;amsterdam west baarsjes heide stoeptuin vrolijkeherfstkleuren balkonie dhl
15;15;2018-05-03 08:32;https://instagram.com/p/BiTipyiliOd/;0;0.0;43.0;leidenindonesia;;;Leiden Indonesia is in Surabaya this week. Today we had warm and productive discussions in the University of Airlangga. First with the Dean of Humanities Faculty, Dr. Diah Arimbi and afterwards with the Vice Rector for Academic and Student Affairs, Prof. Djoko Santoso.    ;43.0;2018-05-03 06:32:01;unair universiteitleiden leidenuniversity leideninsurabaya
16;16;2018-01-28 01:20;https://instagram.com/p/BeeQdTrlfDz/;+;0.0;27.0;studio_duq;51.690079;5.30439;Almost done! Be patient. Beautiful leather bags.   • • •             ;27.0;2018-01-28 00:20:53;oeteldonk carnaval2018 leatherbags leathergoods dutchmade handgemaaktelerentassen lerentassen dutchdesign fashionbag handmadeinholland instafashion studioduq lifestyle perfectimperfection
17;17;2017-05-20 13:08;https://instagram.com/p/BUT9sDZlLNc/;0;2.0;52.0;calvindeinum89;49.306389;-0.32111100000000004;Meet Alan King, a 93 years old  world war 2 . He landed on  at  with his  and had been  5 times during . He also saved a pregnant lady during a  battle in . It was a great  to meet this  .;52.0;2017-05-20 11:08:44;british veteran dday swordbeach shermantank blownup ww2 tank denbosch honour hero
18;18;2017-01-28 17:12;https://instagram.com/p/BP0HZ6iBY1c/;0;0.0;18.0;steiger206;52.367489;5.2142300000000015;"Morgen, zondag  de laatste gelegenheid om  ""Het gezicht van de Stad"" te bezoeken. Waar? in vm  gebouw aan het Weerwater. Well worth a visit.                ";18.0;2017-01-28 16:12:22;29jan tentoonstelling casla almerevooriedereen almere ally expositie francweerwind Burgemeester expositie winter 2017 bezoek hetgezichtvanalmere goedbezig KAF cultuur culture cultuuralm
19;19;2017-11-30 16:58;https://instagram.com/p/BcIBFkBHueQ/;+;0.0;30.0;koninklijkebibliotheek;52.157501;4.48111;Voor overleg over de website Geheugen van Nederland op bezoek bij collega’s van de Universiteitsbibliotheek Leiden. Deze keer niet verdwaald :-)      bibliotheek;30.0;2017-11-30 15:58:42;ubleiden leiden takeover werkenbijdekb nationale
20;20;2017-12-11 16:46;https://instagram.com/p/BckUe8rHO_m/;+;0.0;29.0;chantalx1978;52.400002;5.2333300000000005;Lijkt wel Scandinavië. Mooie plek om te wandelen. Ecologische woonwijk de Buitenkans.        ;29.0;2017-12-11 15:46:56;frisseneus wandelen wanderlust sneeuw almere snow nature winterwonderland
21;21;2017-07-04 11:00;https://instagram.com/p/BWHmvFLFxqp/;+;1.0;24.0;cupsandleafs;52.382408;4.63232;Proef onze Huoshan Yellow Bud. Een bijzondere gele thee welke sinds de Ming Dynastie (1368-1644) al wordt gerekend tot de beroemde top 10 Chinese theeën. Lange tijd was de kennis om deze thee te produceren verloren. Pas begin jaren '70 is deze thee herontdekt en mogen wij er weer van genieten. Kom snel weer langs voor deze en andere mooie theeën in ons assortiment!          ;24.0;2017-07-04 09:00:05;oneteaonezen cupsandleafs yellowtea teatime tea healthychoices hotspot haarlem happytuesday tealover
