;Unnamed: 0;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
0;0;2017-12-23 07:42;https://instagram.com/p/BdCPw_0D_kD/;+;1.0;37.0;fransetman;;;Totem van Ettore Sottsass (ontwerp 1964, productie 1995-1996) gezien in het Stedelijk Museum 's-Hertogenbosch in Den Bosch                  ;37.0;2017-12-23 06:42:55;shertogenbosch denbosch stedelijkmuseumhertogenbosch ettoresottsass totem tekening drawing schilderijen painting mooi beautiful linda maravilloso roos bloem rose flower garden
1;1;2017-04-13 09:57;https://instagram.com/p/BS0WZPWlR5F/;+;4.0;67.0;amsterdam_water;52.287498;4.8875;Schuitje varen, watertje drinken Varen we naar de Overtoom...                   ;67.0;2017-04-13 07:57:32;zon water amstel ij grachten varen bootje huren amsterdam canals canalboat rentaboat amsterdambruist mokum platamsterdams muziek gezelligheid plezier
2;2;2018-01-09 23:43;https://instagram.com/p/BdvvPveDTmP/;+;0.0;18.0;theoriegarant;;; Auto Theorie  Geslaagd in Eindhoven        . W: www.TheorieGarant.nl - M: 0620354235 Locatie: Jan Romeinstraat 4, 5624JJ Eindhoven;18.0;2018-01-09 22:43:49;Topper Geslaagd Auto Theorie Theoriegarant CBR Eindhoven
3;3;2017-03-14 17:45;https://instagram.com/p/BRoDAtOhxD6/;+;0.0;50.0;patthenumieck;51.343281;6.13636;Robin Carels is zaterdag 1 april ook aanwezig bij de grand opening van tattooshop Bigstreet68 in Tegelen! Wil je een dope kunstwerk van hem op je body? Wees er dan snel bij!                    ;50.0;2017-03-14 16:45:53;robincarels thinkbeforeuink thinkbeforeyouink linkforink tattoo getinked art artist tattooartist guestartist ink grandopening 1april tattooshop bigstreet68 venlo tegelen limburg
4;4;2017-12-17 20:32;https://instagram.com/p/Bc0LDsjA9Jh/;+;11.0;270.0;bramvdh1998;51.649937;5.046302;Daar stopt mijn avontuur in de Efteling dan. 4 jaar lang sprookjes opnieuw mogen herbeleven, vrienden gemaakt,onuitwisbare herinneren! Dank jullie allemaal voor de magische tijd!!!  ;270.0;2017-12-17 19:32:25;themapark efteling
5;5;2017-10-19 18:48;https://instagram.com/p/Bab9ZlxgHW1/;0;0.0;103.0;mmtnederland;;;18 oktober LFL01 Noordwijk Foto: Menno Plug/ 1-1-2noordwijk.nl @menno6556                   ;103.0;2017-10-19 16:48:30;airrescue airambulance eurocopter helicopter hems lifeliner luftrettung medicalhelicopter rettungshubschrauber rescueheli traumaheli hems maa airbushelicopters airbushelicopter ec135 anwb mmt
6;6;2018-03-18 17:09;https://instagram.com/p/BgeIHx1jfnp/;+;1.0;35.0;lalalaukroon;52.364368;4.88087;Aanrader!!   ;35.0;2018-03-18 16:09:02;showponies delamar theater
7;7;2018-03-21 08:38;https://instagram.com/p/Bgk8HSHFMw2/;0;2.0;16.0;radiovandijk;;;Witte bolletjes gehaald en stem uitgebracht. Feestje van de democratie is aan!            ;16.0;2018-03-21 07:38:48;gldstemt verkiezingen gemeenteraad gv18 referendum sleepwet arnhem elections vote citycouncil rodepotlood gr18
8;8;2018-02-28 09:45;https://instagram.com/p/Bfu_GhZHdw7/;0;0.0;23.0;psgels;;;Yup, it's snowing again            ;23.0;2018-02-28 08:45:55;snow winter weesp dutchsceneries thenetherlands holland northholland noordholland trains station train winterscape
9;9;2018-03-20 16:29;https://instagram.com/p/BgjNNG-DsRk/;0;0.0;32.0;brechtje_bubeck_gestipt;;;Wil je nog meedoen met de Winactie We geven 2 mini-workshop tickets weg en wel voor zondag 25 maart workshop 3 om 12.15 uur. @creaweekend.nederland Wat moet je doen kijk 4 foto's terug. Morgen maak ik de winnaars bekend. Op Facebook Ge-stipt.nl geef ik ook 2 workshop tickets weg. Voor vrijdag.    . . . .                 ;32.0;2018-03-20 15:29:40;creaweekendnederland gestipt miniworkshop gestipt gestiptgeeftweg geveniszoveelleuker miniworkshop creaweekend creaweekendnederland hardenberg creatief crea diy doityourself doityourway homemade iedereenkanstippen porseleinstippen stippenopporselein stippen
12;12;2017-10-06 22:57;https://instagram.com/p/BZ67jCuA3x0/;0;0.0;9.0;veryferial;;; ;9.0;2017-10-06 20:57:23;denbosch zoetelievegerritje
13;13;2018-01-14 15:53;https://instagram.com/p/Bd7xXBDFzgZ/;0;0.0;26.0;oldtimer_nrw;;;                      ;26.0;2018-01-14 14:53:11;oldtimer oldtimertreffen classiccars classiccar vintagecar vintagecars oldcar car carenthusiast carsofinstagram drivetastefully drivevintage drive driver auto carspotting interclassics maastricht interclassicsmaastricht ford mustang fordmustang musclecar
