;Unnamed: 0;Unnamed: 0.1;datum;url;sentiment;discussielengte;views;auteur;GPS breedtegraad;GPS lengtegraad;bericht tekst;likes count;datum utc;hashtags
0;0;0;2018-03-29 14:45;https://instagram.com/p/Bg6FiptlWhz/;0;0.0;33.0;sizezeroalkmaar;52.62913100000001;4.74972;Je hebt het druk, maar wilt toch graag aan je body werken. Neem dan contact op met de salon voor de mogelijkheden          ;33.0;2018-03-29 12:45:14;['salon', 'alkmaar', 'sizezero', 'shape', 'fitgirl', 'sport', 'spierstimulatie', 'ultrasound', 'huidverbetering', 'easy']
1;1;1;2018-01-01 13:52;https://instagram.com/p/BdaFBieFJ8X/;0;0.0;31.0;estherfeenstra;53.30381;5.05201;Gelukkig nieuwjaar!      ;31.0;2018-01-01 12:52:05;['bikkels', 'zijlieverdanik', 'unox', 'happynewyear', 'nieuwjaarsduik', 'vlieland']
2;2;2;2018-02-28 13:15;https://instagram.com/p/BfvXGkyhiSf/;0;1.0;11.0;someguyslivinginahouse;51.916698;4.5;Wandering around Rotterdam with the housemates... . . .           ;11.0;2018-02-28 12:15:39;['coliving', 'sharedliving', 'sharedhouse', 'sun', 'architecture', 'rotterdam', 'pietblom', 'kubuswoning', 'kubuswoningen', 'livingthelife', 'lovelife']
3;3;3;2017-10-19 19:15;https://instagram.com/p/BacAeTuAyyi/;0;0.0;12.0;skinpractica;;;Skinpractica voor al uw huid en laserbehandelingen!! Kijk op de site voor alle behandelingen.      ;12.0;2017-10-19 17:15:22;['Skinpractica', 'Rotterdam', 'LaanopZuid145', 'vergoedingen', 'zorgverzekeraar']
4;4;4;2017-09-02 11:17;https://instagram.com/p/BYiIer7laoM/;0;0.0;34.0;susannetendoesschate;51.986523;5.834437;Deze toppers van @2gettherecoaching lopen vandaag de @airbornewandeltocht ! #               ;34.0;2017-09-02 09:17:59;['airborne', 'airbornewandeltocht', 'lopen', 'remembering', 'wandelen', 'instawanderlust', 'wanderlust', 'oosterbeek', 'gemeenterenkum', '2getthere', '2gettherecoaching', 'peercoaches', 'jongerencoaches', 'jongeren', 'youth']
5;5;5;2017-11-17 08:36;https://instagram.com/p/BblpQI3FAYh/;0;0.0;35.0;atelieranitadegroot;51.916698;4.4;The most wonderful time of the year  can’t wait!  ;35.0;2017-11-17 07:36:15;['atelieranitadegroot', 'schiedam']
6;6;6;2017-01-25 07:32;https://instagram.com/p/BPrWrQVAtLP/;0;0.0;113.0;eftelmagic;;;// Fakir // . . . //                 @efteling //;113.0;2017-01-25 06:32:39;['Efteling', 'Fakir', 'Sprookjesbos', 'Fairytaleforest', 'sprookje', 'fairytale', 'attractiepark', 'themepark', 'Nederland', 'Netherlands', 'magie', 'magic', 'fotografie', 'photography', 'foto', 'photo']
7;7;7;2017-05-10 17:24;https://instagram.com/p/BT6rCQRAgb5/;0;2.0;43.0;adventureofastone;;;Spring bouquet                    ;43.0;2017-05-10 15:24:44;['spring', 'lente', 'bouquet', 'boeket', 'flowers', 'bloemen', 'voormannen', 'wildflowers', 'veldboeket', 'interior', 'interieur', 'lamp', 'candles', 'rituals', 'woodwick', 'incense', 'letterbak', 'art', 'denbosch', 'shertogenbosch']
8;8;8;2018-01-05 19:27;https://instagram.com/p/Bdk-v8KleGR/;0;81.0;788.0;nikiellena;51.91832700000001;4.479324;One of my favorite hotspots in Rotterdam, I am sure you understand why! - Binnenkort een blog online over Sappi Rotterdam, I will keep you updated! -                   ;788.0;2018-01-05 18:27:39;['hotspot', 'hotspotrotterdam', 'sappi', 'sappirotterdam', 'blog', 'blogpost', 'dutch', 'dutchblogger', 'rotterdam', 'netherlands', 'holland', 'smoothiebowl', 'healthy', 'hello2018', 'favorite', 'rotterday', 'rotterdamcity', 'rottergram', 'city']
9;9;9;2017-11-23 19:28;https://instagram.com/p/Bb2QrKmFZFI/;+;1.0;28.0;foreveryoungdelft;52.011902;4.35705;Black Friday bij Forever Young: dat betekent 25% korting op 1 artikel naar keuze*!! En ook nog kans op een dagje Mini rijden als je iets koopt uit onze toffe collectie. *bestellingen en de feestcollectie doen niet mee aan Black Friday.     ;28.0;2017-11-23 18:28:35;['delft', 'shoppen', 'fashion', 'blackfriday']
10;10;10;2017-04-24 15:25;https://instagram.com/p/BTRQqe6B5lG/;0;0.0;27.0;joodscultureelkwartier;52.366879;4.91095;Net als andere gevluchte fotografen zoals Erich Salomon gaven Annemie en Helmuth Wolff een  belangrijke impuls aan de Nederlandse fotografie, met name op het gebied van de toen nieuwe kleinbeeld- en kleurenfotografie. Hun dynamische en spectaculaire foto's van de Amsterdamse haven en van Schiphol vormen een hoogtepunt in hun oeuvre.  Schiphol wederopbouw, eind jaren dertig. Foto Annemie of Helmuth Wolff © Monica Kaltenschnee  Ontdek het zelf! Nationaal Holocaust Museum - Uit de vergetelheid www.jck.nl/uit-de-vergetelheid             -joods       ;27.0;2017-04-24 13:25:26;['Erich', 'Salomon', 'Annemie', 'Helmuth', 'Wolff', 'Nederland', 'fotografie', 'Amsterdam', 'Schiphol', 'wederopbouw', 'WWII', 'Duits', 'tentoonstelling', 'holocaust', 'jarendertig', 'nationaalholocaustmuseum', 'museum', 'unseen', 'uitdevergetelheid']
