zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel
(src:instagram) extra:ispost;2017-08-24 08:56;https://instagram.com/p/BYKtL1GHHII/;;post;;6;carla__1968;0;0;;;#Nederweert, 18.40u, woensdag 23 augustus 2017. #clouds #wolken;instagram;
(src:instagram) extra:ispost;2018-02-03 23:48;https://instagram.com/p/BewHqDMFKX5/;;post;;1674;footballtalk_nl;0;0;;;Dit was voetbaldag 34! Met Psv wie een nieuw record te pakken heeft! De Eindhovense ploeg heeft 18 thuiswedstrijden achter elkaar gewonnen. De Eindhovenaren wonnen vandaag met 4-0 door een hattrick van Luuk de Jong. Een opmerkelijke gebeurtenis was de rode kaart voor Mickey van der Hart een rode kaart pakte waardoor de 3e keeper in het veld moest komen. ➖➖➖➖➖➖➖➖ Aubameyang is gedebuteerd in de Premier League! De nieuwe spits van Arsenal scoorde gelijk bij zijn debuut. Hierdoor won de ploeg van Wenger met 4-0 van Everton, waar oud-Gunner The Walcott op het veld stond. ➖➖➖➖➖➖➖➖ Sanchez heeft zijn eerste speelminuten voor de ploeg van Mourinho gemaakt. De Chileen was gelijk belangrijk en scoorde de 2-0 voor de red devils. #psv #peczwolle #aubameyang #arsenal #alexissanchez #manchesterunited;instagram;
(src:instagram) extra:ispost;2017-04-08 14:35;https://instagram.com/p/BSn-R7bh0_w/;;post;;251;zanzaloupias;0;0;;;#halvezolenpad #denbosch;instagram;
(src:instagram) extra:ispost;2017-11-20 14:47;https://instagram.com/p/BbuCLYIgXNu/;+;post;4;182;x_marga;0;0;;;So much fun yesterday.😁 #sinterklaas #intochtsinterklaas #kijkduin #pietje #myboy #fun;instagram;
(src:instagram) extra:ispost;2017-12-21 01:30;https://instagram.com/p/Bc8bkRSg2e_/;-;post;5;1844;vogelsinbeeld;0;0;;;Kwade Hoek #kwadehoek #natuurmonumenten #ouddorp #goereeoverflakkee #strand #reflection #landscapephotography #vogelsinbeeld;instagram;
(src:instagram) extra:ispost;2017-04-07 00:11;https://instagram.com/p/BSj2gKXhnxG/;+;post;;417;spaanpt;0;0;;;SPAAN PT MINDSET TIP: WACHT OP HET JUISTE MOMENT! 😉  Poeh, wat ben ik onwijs druk deze week. Afgelopen maandag zijn we met 50 dames gestart met de Bikini Battle dus los van de normale workouts, voedingsplannen en activiteiten achter de schermen is het deze weken even extra gas erbij zodat iedereen een vliegende start kent. 👌🏻 Vanmorgen zat ik daarom al om 06:00 uur achter de computer om voor alle deelnemers schema's op te stellen. Aansluitend snel naar de Studio voor een aantal uur training geven, een intake met een nieuwe klant en dan 's middags tussen de bedrijven door zelf aan de slag. Of toch niet? Ben best wel moe eigenlijk. Zal ik anders morgen gaan? Dan komt het vast beter uit. 😵  Ken je dat gevoel? En de neiging/verleiding om je workout maar te verschuiven naar een andere dag in de week? 🤔  NIET DOEN! 👎🏻 In het leven dat we vandaag de dag leiden moeten we altijd dealen met 1001 dingen tegelijk. Lekker gaan sporten is één van die dingen. Je kunt wachten totdat het juiste moment daar is om naar de gym te gaan maar geloof me, dan komt er niks van. 😒  HET JUISTE MOMENT IS NOOIT! ❌  In het kader van omdenken, zie ik het liever nét wat anders:  HET JUISTE MOMENT IS ALTIJD! ✅  Raap jezelf daarom bij elkaar. Gooi wat water in je gezicht, trek je sportoutfit aan en ga lekker wat doen. Na die tijd bruis je weer van de energie en fiets je opnieuw fluitend door je dag heen. 💪🏻 Succes, zet hem op en maak jezelf trots! 🏆  #personaltraining #smallgrouptraining #bootcamp #BikiniBattle #HNYHNY  #Apeldoorn #Zuidbroek #SpaanPT #SpaanPTeam;instagram;
(src:instagram) extra:ispost;2017-01-12 10:44;https://instagram.com/p/BPKOTLjADTh/;-;post;;;anjemaenschneiders;0;0;52.516701;4.95;Parkeersensor stuk? Vervelend! Wij repareren het graag voor je zodat je weer ''veilig'' kunt inparkeren  #parkeren #parkeersensor #sensor #auto #defect #stuk #inparkeren #purmerend;instagram;
(src:instagram) extra:ispost;2018-01-25 09:07;https://instagram.com/p/BeXXtAMFiYu/;;post;;22;desunstick;0;0;;;De Sunstick is deze (mid)dag ook aanwezig. Kom langs voor meer informatie en een prototypetest. Tot dan! #avans #breda #ORM #ondernemen #sun #strand #beach #zomer;instagram;
(src:instagram) extra:ispost;2017-07-24 15:06;https://instagram.com/p/BW7ixwbB_Ow/;;post;;245;mishell72;0;0;51.689758;5.29968;#denbosch #sol;instagram;
(src:instagram) extra:ispost;2017-10-25 20:47;https://instagram.com/p/BarnvtwHD4M/;;post;4;216;aukjeploeg46;0;0;;;Paddestoelen . . . #paddestoel #mushroom #herfst #autumn #macro #macrofotografie #natuur #nature #natuurfoto #natuurfotografie #natureperfaction #macrosecrets #zoomnl #veluwe #veluwezoom #bns_nature #canon #roots #instanetherlands #instaveluwe #igs_world #igs_macro #speulderbos #bd_pro #geldersestreken #gelderland;instagram;
(src:instagram) extra:ispost;2017-06-04 01:19;https://instagram.com/p/BU5UZm-FK2S/;+;post;;8486;_slayfashion_;0;0;;;Binnenkort gaat onze nieuwe webshop online komen! Houd onze insta goed in de gaten en Like onze pagina op fb. #slay #slaying #slayfashion #fashion #fashionblogger #fashionista #fashionlove #blogger #newbegining #webshop #shopinshop #nederland #newbrand #ladies #nijmegen;instagram;
(src:instagram) extra:ispost;2017-08-17 16:43;https://instagram.com/p/BX5hArDjf3G/;;post;;1298;eee333;0;0;;;#Repost @e3_stella (@get_repost) ・・・@_artshow_ E3 in Gay parade 2017 #prideamsterdam #gayparade #amsterdam #netherlands #canals#photography  #illustration#doodle #drawing #tekening #draw #illust #sketchbook #doodling #doodle #characterdesign #cartoon#artwork #graphicdesign;instagram;
(src:instagram) extra:ispost;2017-06-10 21:55;https://instagram.com/p/BVK-ouBAd3k/;+;post;2;299;minke.hoekstra;0;0;53.325298;5.9989;Fijn weekend !  #chillmodus #interior #kwantum #karwei #myscandinavianhome #whiteinterior #homesweethome #Dokkum #stad #cactuslover #newhome #diy #bolwerken #cosyliving;instagram;
(src:instagram) extra:ispost;2018-01-07 22:13;https://instagram.com/p/BdqbTH6FFZK/;;post;;279;wischmei;0;0;;;Ferdi is vandaag voor de tweede keer met zijn team WVV JO11-1 kampioen geworden van het Milk Boarding Toernooi Groningen. #voetbal #wvv1896  #jo11 #fn7 #pirates4kids #knvb #jako #wvv #E1;instagram;
(src:instagram) extra:ispost;2017-02-10 09:48;https://instagram.com/p/BQUy8PqgPEI/;;post;;151;restaurantgrillig;0;0;51.660912;5.05395;We hebben nog maar een paar tafels beschikbaar voor 14 februari! Neem je valentijn mee uit eten of verras hem/haar met een waardebon van Grill-ig.  Reserveer nu! 0416-744083  #valentijn #uiteten #tapas #alacarte #verrassing #diner #love #kaatsheuvel #grillig;instagram;
(src:instagram) extra:ispost;2017-12-19 17:44;https://instagram.com/p/Bc5BYxenbZ5/;+;post;;100;select_windows;0;0;;;"Ben jij ook verliefd geworden op de vouwwand in de metamorfose in vtwonen ‘Verbouwen of Verhuizen’? Wij snappen wel dat Johan & Joke niet gaan verhuizen ;-) #vouwwand #aluminium #sunflex #stoer #stoerwonen #harmonicawand #selectwindows #vtwonen #verbouwen of #verhuizen #nicolettevandam #fransuyterlinde #veenendaal #stijlvolwonen #beterwonen #styling #stylist #woonstyling #binnenhuisarchitect #architectuur #architects #linkinbio";instagram;
(src:instagram) extra:ispost;2018-08-14 16:46;https://instagram.com/p/BmdpK6SB_Lv/;;post;;;tamaraaa_s;0;0;;;#efteling;instagram;
(src:instagram) extra:ispost;2018-01-09 21:33;https://instagram.com/p/BdvgUkQg-wt/;+;post;;863;jvgautos;0;0;;;BMW E97 1-serie 120i High Executive met leer, navi, xenon, PDC, schuif-/ kanteldak en nog veel meer opties. Prachtige auto uit 2004 met maar 140.000km op de teller! Voor meer info en foto's zie link in bio. #bmw #e87 #1serie #Leer  #PDC #Auto #Car #Dutch #German #Armenian #Holland #Nederland #Enschede #jvgautos;instagram;
(src:instagram) extra:ispost;2018-02-09 23:15;https://instagram.com/p/Be_gomOBn8_/;;post;;404;kimmmi3y;0;0;;;#BoomLikeThat #Barneveld #DireStraits #Coverband;instagram;
(src:instagram) extra:ispost;2017-05-09 07:59;https://instagram.com/p/BT3Fh9TFCjN/;-;post;4;259;pieterys;0;0;51.653301;5.05436;Vanavond alweer naar huis, helaas zonder deze schattige muis. #achterhetbed #efteling #hotel #muis #eftelinghotel #wereldvolwonderen;instagram;
